original_fullcell,frequency,tokens_parsed,chosen_main_token,canonical_plural
['decanters'],2,decanters,decanters,decanters
['decorative arts'],114,decorative arts,decorative arts,decorative arts
"['quilts', 'decorative arts', 'folk art']",3,quilts; decorative arts; folk art,decorative arts,decorative arts
"['decorative arts', 'folk art']",3,decorative arts; folk art,decorative arts,decorative arts
"['quilts', 'decorative arts', 'crafts (art genres)']",3,quilts; decorative arts; crafts,decorative arts,decorative arts
"['decorative arts', 'crafts (art genres)']",1,decorative arts; crafts,decorative arts,decorative arts
"['still lifes', 'sheet music', 'decorative arts']",1,still lifes; sheet music; decorative arts,decorative arts,decorative arts
"['still lifes', 'decorative arts']",1,still lifes; decorative arts,decorative arts,decorative arts
"['mirrors', 'decorative arts']",1,mirrors; decorative arts,decorative arts,decorative arts
"['deed, land']",1,"deed, land","deed, land","deed, lands"
"['forceps, hand forged', 'forceps, hand forged; dentistry', 'forceps, dental', 'dental instrument', 'dental forceps']",1,"forceps, hand forged; forceps, hand forged; dentistry; forceps, dental; dental instrument; dental forceps",dental instrument,dental instruments
"['bur thimble', 'socket, ring and drill', 'socket, ring and drill; dentistry', 'dental instrument']",1,"bur thimble; socket, ring and drill; socket, ring and drill; dentistry; dental instrument",dental instrument,dental instruments
"['designs (concepts)', 'drawing, school plan']",1,"designs; drawing, school plan",designs,designs
['desks'],2,desks,desks,desks
"['slant front desk and bookcase', 'desks']",1,slant front desk and bookcase; desks,desks,desks
"['device, lifting']",1,"device, lifting","device, lifting","device, liftings"
"['dickey; neckwear; accessories worn on the body; male', 'dickeys']",1,dickey; neckwear; accessories worn on the body; male; dickeys,dickey; neckwear; accessories worn on the body; male,dickey; neckwear; accessories worn on the body; males
['dies (tools)'],1,dies,dies,dies
"['dipper, snuff']",1,"dipper, snuff","dipper, snuff","dipper, snufves"
"['dipper, well']",1,"dipper, well","dipper, well","dipper, wells"
['dippers (serving utensils)'],4,dippers,dippers,dippers
"['dippers (serving utensils)', 'cup, drinking']",1,"dippers; cup, drinking",dippers,dippers
"['dish, dessert']",1,"dish, dessert","dish, dessert","dish, desserts"
"['dish, salt']",1,"dish, salt","dish, salt","dish, salts"
"['dish, soap']",1,"dish, soap","dish, soap","dish, soaps"
"['dish, soup']",3,"dish, soup","dish, soup","dish, soups"
['dishes (vessels)'],15,dishes,dishes,dishes
['dispatch case'],1,dispatch case,dispatch case,dispatch cases
['distilleries'],1,distilleries,distilleries,distilleries
['dividers'],1,dividers,dividers,dividers
['dividing engine'],1,dividing engine,dividing engine,dividing engines
"['document, broadside']",1,"document, broadside","document, broadside","document, broadsides"
['documents'],18,documents,documents,documents
"['fraktur', 'documents', 'pen and ink', 'certificates']",3,fraktur; documents; pen and ink; certificates,documents,documents
"['fraktur', 'documents', 'pen and ink', 'certificates', 'letterpress']",2,fraktur; documents; pen and ink; certificates; letterpress,documents,documents
"['sheets of paper, set of', 'documents', 'sheets of paper, set of; documents']",1,"sheets of paper, set of; documents; sheets of paper, set of; documents",documents,documents
"['documents', 'pamphlets', 'pamphlet; documents']",1,documents; pamphlets; pamphlet; documents,documents,documents
"['notice', 'documents']",1,notice; documents,documents,documents
"['sheets (paper), set of; paper, sheet; manuscript', 'documents', 'paper, sheet']",1,"sheets , set of; paper, sheet; manuscript; documents; paper, sheet",documents,documents
"['tr*335662', 'documents']",1,tr*335662; documents,documents,documents
"['documents', 'signature']",1,documents; signature,documents,documents
"['fraktur', 'documents', 'certificates', 'letterpress']",1,fraktur; documents; certificates; letterpress,documents,documents
"['bookplate', 'fraktur', 'documents', 'pen and ink']",1,bookplate; fraktur; documents; pen and ink,documents,documents
"['fraktur vorschriften', 'fraktur', 'documents', 'pen and ink', 'documents, pair of', 'certificates']",1,"fraktur vorschriften; fraktur; documents; pen and ink; documents, pair of; certificates",documents,documents
"['fraktur vorschriften', 'fraktur', 'documents', 'pen and ink']",1,fraktur vorschriften; fraktur; documents; pen and ink,documents,documents
"['doll, woman']",1,"doll, woman","doll, woman","doll, women"
"['double fireplace, delaware log house', 'log house']",1,"double fireplace, delaware log house; log house","double fireplace, delaware log house","double fireplace, delaware log houses"
"['drawers; lower body; underwear; male', 'drawers (underpants)']",1,drawers; lower body; underwear; male; drawers,drawers; lower body; underwear; male,drawers; lower body; underwear; males
"['drawing compass', 'compass, drawing']",1,"drawing compass; compass, drawing",drawing compass,drawing compass
"['drawing instruments, set of']",3,"drawing instruments, set of","drawing instruments, set of","drawing instruments, set oves"
['drawings'],40,drawings,drawings,drawings
"['fraktur', 'documents', 'drawings']",3,fraktur; documents; drawings,drawings,drawings
"['drawing; pictures; pen and ink', 'drawings']",2,drawing; pictures; pen and ink; drawings,drawings,drawings
"['folk art', 'drawings']",2,folk art; drawings,drawings,drawings
"['fraktur', 'certificates', 'fraktur', 'drawings']",1,fraktur; certificates; fraktur; drawings,drawings,drawings
"['painting; portraits', 'drawings']",1,painting; portraits; drawings,drawings,drawings
"['painting; pictures; watercolor; portrait', 'drawing, watercolor', 'drawings']",1,"painting; pictures; watercolor; portrait; drawing, watercolor; drawings",drawings,drawings
"['painting; pictures; watercolor', 'drawing, watercolor', 'drawings']",1,"painting; pictures; watercolor; drawing, watercolor; drawings",drawings,drawings
"['dress 1 piece', 'dress 1 piece; entire body; main dress; female']",1,dress 1 piece; dress 1 piece; entire body; main dress; female,dress 1 piece,dresses
"['dress fragment', 'dress fragment']",1,dress fragment; dress fragment,dress fragment,dresses
"['dress, 1 piece', 'dress, 1 piece; entire body; main dress; female']",14,"dress, 1 piece; dress, 1 piece; entire body; main dress; female","dress, 1 piece",dresses
"['entire body', 'dress, 1 piece', 'dresses (garments)', 'main garments', 'dress, 1 piece; entire body; main dress; female']",2,"entire body; dress, 1 piece; dresses; main garments; dress, 1 piece; entire body; main dress; female","dress, 1 piece",dresses
"['dress, 1 piece', 'dress, 1 piece; entire body; main dress; female; wedding']",1,"dress, 1 piece; dress, 1 piece; entire body; main dress; female; wedding","dress, 1 piece",dresses
"['dress, 1 piece; entire body; main dress; infant', 'dress, 1 piece']",1,"dress, 1 piece; entire body; main dress; infant; dress, 1 piece","dress, 1 piece",dresses
"['dress, 1 piece, christening', 'dress, 1 piece; entire body; main dress; infant', 'dress, 1 piece']",1,"dress, 1 piece, christening; dress, 1 piece; entire body; main dress; infant; dress, 1 piece","dress, 1 piece",dresses
"['dress, 1 piece; entire body; main dress; female; mourning?', 'dress, 1 piece']",1,"dress, 1 piece; entire body; main dress; female; mourning?; dress, 1 piece","dress, 1 piece",dresses
"['dress, 1 piece; entire body; main dress; female; quaker?', 'dress, 1 piece']",1,"dress, 1 piece; entire body; main dress; female; quaker?; dress, 1 piece","dress, 1 piece",dresses
"['entire body', 'dress, 1 piece', 'dresses (garments)', 'main garments', 'dress, 1 piece; entire body; main dress; female; wedding']",1,"entire body; dress, 1 piece; dresses; main garments; dress, 1 piece; entire body; main dress; female; wedding","dress, 1 piece",dresses
"['dress, 4 piece', 'dress, 4 piece; entire body; main dress; female']",1,"dress, 4 piece; dress, 4 piece; entire body; main dress; female","dress, 4 piece",dresses
"['dress, bodice; entire body; main dress; female', 'dress, bodice']",1,"dress, bodice; entire body; main dress; female; dress, bodice","dress, bodice; entire body; main dress; female",dresses
"['dress, fragments']",1,"dress, fragments","dress, fragments",dresses
"['dress, skirt; entire body; main dress; female', 'dress, skirt']",1,"dress, skirt; entire body; main dress; female; dress, skirt","dress, skirt; entire body; main dress; female",dresses
"['dresses (garments)', 'dress, 2 piece; entire body; main dress; female']",5,"dresses; dress, 2 piece; entire body; main dress; female",dresses,dresses
['dresses (garments)'],1,dresses,dresses,dresses
"['dress, 1 piece; dress, 2 piece; entire body; main dress; female', 'dresses (garments)']",1,"dress, 1 piece; dress, 2 piece; entire body; main dress; female; dresses",dresses,dresses
['drum head'],2,drum head,drum head,drum heads
['drums (membranophones)'],3,drums,drums,drums
['earrings'],1,earrings,earrings,earrings
"['ecuelle', 'ecuelle stand', 'ecuelle cover', 'stand']",1,ecuelle; ecuelle stand; ecuelle cover; stand,ecuelle,ecuelles
['electoral ticket'],1,electoral ticket,electoral ticket,electoral tickets
['electrostatic demonstration apparatus'],1,electrostatic demonstration apparatus,electrostatic demonstration apparatus,electrostatic demonstration apparatuses
"['electrostatic device', 'discharge tube', 'electrostatic device', 'discharge tube; electrostatic devices']",1,electrostatic device; discharge tube; electrostatic device; discharge tube; electrostatic devices,electrostatic device,electrostatic devices
"['cylinder type frictional electrostatic machine', 'electrostatic generator', 'electrostatic generator component']",1,cylinder type frictional electrostatic machine; electrostatic generator; electrostatic generator component,electrostatic generator,electrostatic generators
"['electrostatic generator', 'revolving doubler', 'influence machine']",1,electrostatic generator; revolving doubler; influence machine,electrostatic generator,electrostatic generators
"['electrostatic generator', 'frictional cylinder electrostatic machine']",1,electrostatic generator; frictional cylinder electrostatic machine,electrostatic generator,electrostatic generators
"['cylinder type frictional electrostatic machine; electrostatic devices', 'cylinder type frictional electrostatic machine', 'electrostatic generator']",1,cylinder type frictional electrostatic machine; electrostatic devices; cylinder type frictional electrostatic machine; electrostatic generator,electrostatic generator,electrostatic generators
"['electrostatic generator', 'electrostatic machine; electrostatic devices', 'electrostatic machine']",1,electrostatic generator; electrostatic machine; electrostatic devices; electrostatic machine,electrostatic generator,electrostatic generators
"['electrostatic machine', 'electrostatic generator', 'galvanometer; measuring devices', 'galvanometer']",1,electrostatic machine; electrostatic generator; galvanometer; measuring devices; galvanometer,electrostatic generator,electrostatic generators
"['electrostatic generator', 'electrostatic machine']",1,electrostatic generator; electrostatic machine,electrostatic generator,electrostatic generators
"['emblem, radiator; road; automobile', 'emblem, radiator']",1,"emblem, radiator; road; automobile; emblem, radiator","emblem, radiator; road; automobile","emblem, radiator; road; automobiles"
"['embroidery, lace, ecclesiatical', 'embroidery, lace, ecclesiastical, table cover', 'embroidery, lace, ecclesiastical']",1,"embroidery, lace, ecclesiatical; embroidery, lace, ecclesiastical, table cover; embroidery, lace, ecclesiastical","embroidery, lace, ecclesiatical","embroidery, lace, ecclesiaticals"
"['embroidery, picture']",1,"embroidery, picture","embroidery, picture","embroidery, pictures"
"['embroidery, white work', 'pocket, white work']",1,"embroidery, white work; pocket, white work","embroidery, white work","embroidery, white works"
['employee gear'],9,employee gear,employee gear,employee gears
['engine jack'],2,engine jack,engine jack,engine jacks
"['engine, internal combustion, model', 'engine, internal combustion']",1,"engine, internal combustion, model; engine, internal combustion","engine, internal combustion, model","engine, internal combustion, models"
"['engine, steam, boat']",1,"engine, steam, boat","engine, steam, boat","engine, steam, boats"
"['engine, steam, boat', 'engine, steam, boat, model']",1,"engine, steam, boat; engine, steam, boat, model","engine, steam, boat","engine, steam, boats"
"['engine, steam', 'engine, steam, model']",2,"engine, steam; engine, steam, model","engine, steam, model","engine, steam, models"
"['engine, steam, model', 'center square waterworks model', 'water works']",1,"engine, steam, model; center square waterworks model; water works","engine, steam, model","engine, steam, models"
['english guitar'],2,english guitar,english guitar,english guitars
['engravings (prints)'],4,engravings,engravings,engravings
"['engravings (prints)', 'print, engraving']",4,"engravings; print, engraving",engravings,engravings
"['sheet (paper)', 'engravings (prints)', 'paper (fiber product)', 'sheet']",2,sheet; engravings; paper; sheet,engravings,engravings
"['print, line engraving', 'engravings (prints)']",1,"print, line engraving; engravings",engravings,engravings
"['entablature fragment, church', 'beam fragment']",1,"entablature fragment, church; beam fragment","entablature fragment, church","entablature fragment, churches"
"['epaulets, pair of', 'epaulets, pair of; insignia; army; holder, epaulet; officer', 'epaulettes, pair of']",1,"epaulets, pair of; epaulets, pair of; insignia; army; holder, epaulet; officer; epaulettes, pair of","epaulets, pair of","epaulets, pair oves"
['etchings (prints)'],1,etchings,etchings,etchings
['eyecup'],1,eyecup,eyecup,eyecups
"['eyeglasses; opticals; accessories worn on the body; unknown', 'eyeglasses']",2,eyeglasses; opticals; accessories worn on the body; unknown; eyeglasses,eyeglasses; opticals; accessories worn on the body; unknown,eyeglasses; opticals; accessories worn on the body; unknowns
['fabric fragment'],2,fabric fragment,fabric fragment,fabric fragments
"['fabric fragment', 'fabric, printed fragment']",1,"fabric fragment; fabric, printed fragment",fabric fragment,fabric fragments
"['fabric length, knitted', 'fabric; knitted']",1,"fabric length, knitted; fabric; knitted","fabric length, knitted","fabric length, knitteds"
"['fabric length, plate printed', 'fabric, printed, copperplate']",1,"fabric length, plate printed; fabric, printed, copperplate","fabric length, plate printed","fabric length, plate printeds"
"['fabric pieces; accessories for the manufacturing of clothing', 'fabric pieces']",1,fabric pieces; accessories for the manufacturing of clothing; fabric pieces,fabric pieces; accessories for the manufacturing of clothing,fabric pieces; accessories for the manufacturing of clothings
['fabric sample'],2,fabric sample,fabric sample,fabric samples
"['fabric, fragment, printed']",8,"fabric, fragment, printed","fabric, fragment, printed","fabric, fragment, printeds"
"['fabric, fragment']",1,"fabric, fragment","fabric, fragment","fabric, fragments"
"['fabric, printed']",1,"fabric, printed","fabric, printed","fabric, printeds"
"['fabric,fragment']",1,"fabric,fragment","fabric,fragment","fabric,fragments"
"['fabric; accessories for the manufacturing of clothing', 'cloth']",6,fabric; accessories for the manufacturing of clothing; cloth,fabric; accessories for the manufacturing of clothing,fabric; accessories for the manufacturing of clothings
"['fans (costume accessories)', 'fan; accessories carried; female']",2,fans; fan; accessories carried; female,fans,fans
"['fashion plate', 'fashion plate; female']",30,fashion plate; fashion plate; female,fashion plate,fashion plates
"['fashion plate', 'fashion plate; male']",2,fashion plate; fashion plate; male,fashion plate,fashion plates
['fashion plate'],1,fashion plate,fashion plate,fashion plates
"[""feather money, o'o bird; oceania; polynesia, hawaiian islands"", 'alternative currency', ""feather money, o'o bird""]",1,"feather money, o'o bird; oceania; polynesia, hawaiian islands; alternative currency; feather money, o'o bird","feather money, o'o bird; oceania; polynesia, hawaiian islands","feather money, o'o bird; oceania; polynesia, hawaiian islands"
['fiddles'],1,fiddles,fiddles,fiddles
"[""field hand's call""]",1,field hand's call,field hand's call,field hand's calls
['field telescope and case'],2,field telescope and case,field telescope and case,field telescope and cases
['fifes'],2,fifes,fifes,fifes
['figure group'],1,figure group,figure group,figure groups
['figures (representations)'],9,figures,figures,figures
"['figurines', 'figures (representations)']",2,figurines; figures,figures,figures
"['figurine, group']",2,"figurine, group","figurine, group","figurine, groups"
"['figurine, group', 'figure group']",1,"figurine, group; figure group","figurine, group","figurine, groups"
"['figurines', 'figurine, animal']",2,"figurines; figurine, animal",figurines,figurines
['figurines'],1,figurines,figurines,figurines
"['finial, altar screen']",1,"finial, altar screen","finial, altar screen","finial, altar screens"
['fire hats'],3,fire hats,fire hats,fire hats
['fire mark'],40,fire mark,fire mark,fire marks
"['fire steel; fire making apparatus', 'firesteel']",8,fire steel; fire making apparatus; firesteel,fire steel; fire making apparatus,fire steel; fire making apparatuses
"['cutter, straw', 'fire steel; fire making apparatus']",1,"cutter, straw; fire steel; fire making apparatus",fire steel; fire making apparatus,fire steel; fire making apparatuses
['fireback'],1,fireback,fireback,firebacks
['firesteel'],1,firesteel,firesteel,firesteels
"['flag, fragment of', 'flag, fragment of; military; army; rgt, 9 virginia continental']",1,"flag, fragment of; flag, fragment of; military; army; rgt, 9 virginia continental","flag, fragment of","flag, fragment oves"
"['flag, revolutionary war']",3,"flag, revolutionary war","flag, revolutionary war","flag, revolutionary wars"
['flagon'],2,flagon,flagon,flagons
"['flags', 'flag; military; army; streamer']",12,flags; flag; military; army; streamer,flags,flags
"['flag; flags; military; army; streamer; campaign', 'flags']",5,flag; flags; military; army; streamer; campaign; flags,flags,flags
['flags'],4,flags,flags,flags
"['flag; military; collar; rgt, ansbach bayreuth', 'flags']",1,"flag; military; collar; rgt, ansbach bayreuth; flags",flags,flags
"['flag; military', 'flags']",1,flag; military; flags,flags,flags
"['flag, japanese', 'flags', 'flag; military; army']",1,"flag, japanese; flags; flag; military; army",flags,flags
"['flag; army; signal', 'flags']",1,flag; army; signal; flags,flags,flags
['flails (weapons)'],1,flails,flails,flails
['flasks (bottles)'],1,flasks,flasks,flasks
"['spoons', 'flatware']",191,spoons; flatware,flatware,flatwares
"['flatware', 'tongs']",14,flatware; tongs,flatware,flatwares
"['flatware', 'ladles']",4,flatware; ladles,flatware,flatwares
"['flatware', 'sugar tongs', 'tongs']",2,flatware; sugar tongs; tongs,flatware,flatwares
"['flatware', 'spurs (costume accessories)']",2,flatware; spurs,flatware,flatwares
"['spoons', 'flatware', 'spoons']",2,spoons; flatware; spoons,flatware,flatwares
"['flatware', 'skewers']",1,flatware; skewers,flatware,flatwares
"['flatware', 'sipper']",1,flatware; sipper,flatware,flatwares
"['knife, serving', 'knives', 'flatware']",1,"knife, serving; knives; flatware",flatware,flatwares
"['teaspoo', 'flatware']",1,teaspoo; flatware,flatware,flatwares
"['flatware', 'medallions (medals)']",1,flatware; medallions,flatware,flatwares
"['flatware', 'keys (hardware)']",1,flatware; keys,flatware,flatwares
['fliers (printed matter)'],1,fliers,fliers,fliers
['flowerpot'],1,flowerpot,flowerpot,flowerpots
['flutes (aerophones)'],9,flutes,flutes,flutes
"['food warmer', 'infant feeder']",1,food warmer; infant feeder,food warmer,food warmers
"['fork, hearth']",1,"fork, hearth","fork, hearth","fork, hearths"
['forks (flatware)'],7,forks,forks,forks
"['fragment, pan']",1,"fragment, pan","fragment, pan","fragment, pans"
"['fragment, pipe, tobacco']",1,"fragment, pipe, tobacco","fragment, pipe, tobacco",pipes
"['fragment, pitcher']",1,"fragment, pitcher","fragment, pitcher","fragment, pitchers"
"['fragments, bottle']",1,"fragments, bottle","fragments, bottle","fragments, bottles"
['fragrance'],1,fragrance,fragrance,fragrances
"['certificate, marriage', 'fraktur', 'pen and ink', 'certificates', 'license, marriage', 'certificate form, marriage']",1,"certificate, marriage; fraktur; pen and ink; certificates; license, marriage; certificate form, marriage",fraktur,frakturs
"['frame, butter mold']",1,"frame, butter mold","frame, butter mold","frame, butter molds"
"['frame, mirror, parts of']",1,"frame, mirror, parts of","frame, mirror, parts of","frame, mirror, parts oves"
['franchise'],1,franchise,franchise,franchises
['funnels'],3,funnels,funnels,funnels
"['furniture, kiln']",1,"furniture, kiln","furniture, kiln","furniture, kilns"
"['gaiters, pair of; footwear; accessories worn on the body; male', 'gaiters, pair of']",1,"gaiters, pair of; footwear; accessories worn on the body; male; gaiters, pair of","gaiters, pair of; footwear; accessories worn on the body; male","gaiters, pair of; footwear; accessories worn on the body; males"
['games'],1,games,games,games
['geography assignment'],1,geography assignment,geography assignment,geography assignments
"['glass, jelly']",6,"glass, jelly","glass, jelly","glass, jellies"
"['glass, soda']",1,"glass, soda","glass, soda","glass, sodas"
"['glass, soda', 'glass, soda', 'glass, soda; soda fountain; furnishings']",1,"glass, soda; glass, soda; glass, soda; soda fountain; furnishings","glass, soda","glass, sodas"
"['globe, celestial, french, 18th c']",1,"globe, celestial, french, 18th c","globe, celestial, french, 18th c","globe, celestial, french, 18th cs"
"['gloves, pair of; handwear; accessories worn on the body; male', 'gloves']",3,"gloves, pair of; handwear; accessories worn on the body; male; gloves",gloves,gloves
['graphic arts'],25,graphic arts,graphic arts,graphic arts
['graters'],2,graters,graters,graters
"['grater, potato; kitchen utensils', 'graters']",1,"grater, potato; kitchen utensils; graters",graters,graters
"['grenade; ammunition, artillery; hand', 'grenades']",1,"grenade; ammunition, artillery; hand; grenades","grenade; ammunition, artillery; hand","grenade; ammunition, artillery; hands"
['griddles'],2,griddles,griddles,griddles
['guitars'],9,guitars,guitars,guitars
"['guitars', 'english guitar', 'english guitar']",1,guitars; english guitar; english guitar,guitars,guitars
"['gun; firearms; miquelet; .69 in; smooth bore; muzzle load; sa; p', 'firearms', 'musket, miquelet lock']",1,"gun; firearms; miquelet; .69 in; smooth bore; muzzle load; sa; p; firearms; musket, miquelet lock",gun; firearms; miquelet; .69 in; smooth bore; muzzle load; sa; p,gun; firearms; miquelet; .69 in; smooth bore; muzzle load; sa; ps
['hackle'],1,hackle,hackle,hackles
"['hand pumper', 'model, hand pumper']",1,"hand pumper; model, hand pumper",hand pumper,hand pumpers
"['plane; carpenter joiner cabinetmaker; woodworking; planing tools; hand tools', 'hand tools', 'planes (tools)']",1,plane; carpenter joiner cabinetmaker; woodworking; planing tools; hand tools; hand tools; planes,hand tools,hand tools
"['handkerchief, printed, copperplate']",1,"handkerchief, printed, copperplate","handkerchief, printed, copperplate","handkerchief, printed, copperplates"
['handkerchiefs'],1,handkerchiefs,handkerchiefs,handkerchiefs
"['handkerchief; accessories carried; female', 'handkerchiefs']",1,handkerchief; accessories carried; female; handkerchiefs,handkerchiefs,handkerchiefs
"['handle, door']",2,"handle, door","handle, door","handle, doors"
"['handle, door', 'door hardware']",1,"handle, door; door hardware","handle, door","handle, doors"
['handles'],1,handles,handles,handles
"['hanger, pigeon']",1,"hanger, pigeon","hanger, pigeon","hanger, pigeons"
['hanging balance (beam)'],1,hanging balance,hanging balance,hanging balances
"['hanging, printed']",2,"hanging, printed","hanging, printed","hanging, printeds"
"['hanging, printed', 'toile, copperplate']",1,"hanging, printed; toile, copperplate","hanging, printed","hanging, printeds"
"['harp, jaw', 'pattern tree']",1,"harp, jaw; pattern tree","harp, jaw","harp, jaws"
['harpoons'],1,harpoons,harpoons,harpoons
"['harpoon; maritime', 'harpoons']",1,harpoon; maritime; harpoons,harpoons,harpoons
['harps (chordophones)'],2,harps,harps,harps
['harpsichord'],1,harpsichord,harpsichord,harpsichords
['harrows'],1,harrows,harrows,harrows
"['hatchet, small hand']",1,"hatchet, small hand","hatchet, small hand","hatchet, small hands"
['hats'],3,hats,hats,hats
"['hats', 'hat; headwear; accessories worn on the body; woman; 1920 00 00+, 1925 00 00']",1,"hats; hat; headwear; accessories worn on the body; woman; 1920 00 00+, 1925 00 00",hats,hats
"['hat; headwear; accessories worn on the body; male', 'hats']",1,hat; headwear; accessories worn on the body; male; hats,hats,hats
['highchair'],2,highchair,highchair,highchairs
"['holder, cigar', 'holder, cigar; smoking equipment']",1,"holder, cigar; holder, cigar; smoking equipment","holder, cigar",pipes
"['holder, cigar', 'fragments, pipe', 'holder, cigar; smoking equipment']",1,"holder, cigar; fragments, pipe; holder, cigar; smoking equipment","holder, cigar",pipes
"['holder, cigar']",1,"holder, cigar","holder, cigar","holder, cigars"
"['holder, crayon']",1,"holder, crayon","holder, crayon","holder, crayons"
"['holder, whetstone']",1,"holder, whetstone","holder, whetstone","holder, whetstones"
"['hook, fireplace']",1,"hook, fireplace","hook, fireplace","hook, fireplaces"
"['hook, ox yoke']",1,"hook, ox yoke","hook, ox yoke","hook, ox yokes"
"['hook, pot']",6,"hook, pot","hook, pot","hook, pots"
"['hook, shelf']",1,"hook, shelf","hook, shelf","hook, shelves"
['hooks (fasteners)'],2,hooks,hooks,hooks
"['hornbooks', 'hornbook']",1,hornbooks; hornbook,hornbooks,hornbooks
['horn (animal material)'],3,horn,horn,horns
"['horn; accoutrements', 'horn (animal material)', 'powder horns']",2,horn; accoutrements; horn; powder horns,horn,horns
"['horn (animal material)', 'horn; general collection']",1,horn; horn; general collection,horn,horns
"['horn, priming', 'horn (animal material)', 'horn, priming; accoutrements', 'powder horns']",1,"horn, priming; horn; horn, priming; accoutrements; powder horns",horn,horns
"['housewife', 'needlework kit']",1,housewife; needlework kit,housewife,housewives
['hurdy gurdy'],1,hurdy gurdy,hurdy gurdy,hurdy gurdies
"['husker, corn']",1,"husker, corn","husker, corn","husker, corns"
['hydrometer'],2,hydrometer,hydrometer,hydrometers
['icon'],22,icon,icon,icons
"['icon, crucifix', 'icon']",1,"icon, crucifix; icon",icon,icons
"['impression', 'impression; trial']",1,impression; impression; trial,impression,impressions
['inkstands'],2,inkstands,inkstands,inkstands
['inkwells'],2,inkwells,inkwells,inkwells
"['insignias', 'insignia; insignia; army; epaulette; officer']",1,insignias; insignia; insignia; army; epaulette; officer,insignias,insignias
"['insignias', 'insignia; army; epaulette']",1,insignias; insignia; army; epaulette,insignias,insignias
"['insignias', 'insignia; army; sash; officer']",1,insignias; insignia; army; sash; officer,insignias,insignias
['instrument case'],1,instrument case,instrument case,instrument cases
"['insurance policy, fly']",1,"insurance policy, fly","insurance policy, fly","insurance policy, flies"
"['invitation', 'invitation; manuscript, printed']",1,"invitation; invitation; manuscript, printed",invitation,invitations
"['iron, branding', 'branding iron']",1,"iron, branding; branding iron","iron, branding","iron, brandings"
"['iron, wafer']",3,"iron, wafer","iron, wafer","iron, wafers"
"['iron, waffle']",4,"iron, waffle","iron, waffle","iron, waffles"
"['iron (metal)', 'wafer iron, religious']",1,"iron; wafer iron, religious",iron,irons
"['dice, ivory', 'ivory (tooth component)', 'dice']",1,"dice, ivory; ivory; dice",ivory,ivories
"['fids', 'ivory (tooth component)']",1,fids; ivory,ivory,ivories
['jackets (garments)'],2,jackets,jackets,jackets
"['jacket; upper body; main dress; female', 'jackets (garments)']",1,jacket; upper body; main dress; female; jackets,jackets,dresses
"['jacket; upper body; main dress; female; sport; riding', 'jackets (garments)']",1,jacket; upper body; main dress; female; sport; riding; jackets,jackets,dresses
"['jackets (garments)', 'jacket; upper body; main dress; female?']",1,jackets; jacket; upper body; main dress; female?,jackets,dresses
"['jar, apothecary, syrup']",2,"jar, apothecary, syrup","jar, apothecary, syrup","jar, apothecary, syrups"
"['jar, leech, apothecary', 'leech jar; materia medica; containers', 'leech jars']",2,"jar, leech, apothecary; leech jar; materia medica; containers; leech jars","jar, leech, apothecary","jar, leech, apothecaries"
"['syrup jar', 'jar; pharmaceutical container']",7,syrup jar; jar; pharmaceutical container,jar; pharmaceutical container,jar; pharmaceutical containers
"['jars', 'jar; pharmaceutical container']",111,jars; jar; pharmaceutical container,jars,jars
['jars'],87,jars,jars,jars
"['jar; pharmaceutical container', 'jars']",32,jar; pharmaceutical container; jars,jars,jars
"['syrup jar', 'jars']",13,syrup jar; jars,jars,jars
"['albarello', 'jars']",9,albarello; jars,jars,jars
"['jar; pharmaceuticals; containers; pharmaceutical container', 'jars']",6,jar; pharmaceuticals; containers; pharmaceutical container; jars,jars,jars
"['syrup jar', 'jar; pharmaceutical container', 'jars']",5,syrup jar; jar; pharmaceutical container; jars,jars,jars
"['flask; jar; pharmaceutical container', 'jars']",3,flask; jar; pharmaceutical container; jars,jars,jars
"['jars', 'jar, albarello']",3,"jars; jar, albarello",jars,jars
"['jars', 'jar, albarello', 'jar; pharmaceutical container']",1,"jars; jar, albarello; jar; pharmaceutical container",jars,jars
"['albarello', 'jars', 'jar; pharmaceutical container']",1,albarello; jars; jar; pharmaceutical container,jars,jars
"['jars', 'pharmaceutical container']",1,jars; pharmaceutical container,jars,jars
"['medicine', 'syrup jar', 'jars', 'jar; pharmaceutical container']",1,medicine; syrup jar; jars; jar; pharmaceutical container,jars,jars
"['pitchers (vessels)', 'jars']",1,pitchers; jars,jars,jars
"['syrup jar', 'syrup jar', 'jars']",1,syrup jar; syrup jar; jars,jars,jars
"['bottle; jar; pharmaceutical container', 'jars']",1,bottle; jar; pharmaceutical container; jars,jars,jars
"['jar; pharmaceutical container; syrup', 'jars']",1,jar; pharmaceutical container; syrup; jars,jars,jars
"['bottles', 'jars']",1,bottles; jars,jars,jars
"['bottles', 'jars', 'jar; pharmaceutical container']",1,bottles; jars; jar; pharmaceutical container,jars,jars
"['bottles', 'jars', 'jar; bottle; pharmaceutical container']",1,bottles; jars; jar; bottle; pharmaceutical container,jars,jars
"['jar; bottle; pharmaceutical container', 'jars']",1,jar; bottle; pharmaceutical container; jars,jars,jars
"['syrup jar, pitcher', 'jars']",1,"syrup jar, pitcher; jars",jars,jars
"['flask; pharmaceutical container', 'flasks (bottles)', 'jars']",1,flask; pharmaceutical container; flasks; jars,jars,jars
"['jars', 'bottle; jar; pharmaceutical container']",1,jars; bottle; jar; pharmaceutical container,jars,jars
