canonical_type,count_by_canontype,action_family,multi_action
"mitts, pair of; handwear; accessories worn on the body; females",1,Other,FALSE
weathervanes,1,Other,FALSE
neckcloth?; neckwear; accessories worn on the body; females,1,Other,FALSE
"cuffs, pair oves",1,Other,FALSE
fabric pieces; accessories for the manufacturing of clothings,1,Other,FALSE
"undersleeves, pair oves",1,Other,FALSE
dickey; neckwear; accessories worn on the body; males,1,Other,FALSE
walking stick; accessories carried; males,1,Other,FALSE
accessories for the care of clothings,1,Other,FALSE
muff; accessories carried; females,1,Other,FALSE
"gaiters, pair of; footwear; accessories worn on the body; males",1,Other,FALSE
calashes,1,Other,FALSE
"picture, mournings",1,Other,FALSE
"epaulets, pair oves",1,Other,FALSE
"casing; ammunition, artillery; center fire; 25 mms",1,Other,FALSE
"bullet, molds",1,Other,FALSE
cannons,1,Other,FALSE
oath of allegiances,1,Other,FALSE
scutching knives,1,Other,FALSE
coins,1122,Pay & exchange,FALSE
checks,33,Pay & exchange,FALSE
bill of exchanges,19,Pay & exchange,TRUE
bank notes,14,Pay & exchange,FALSE
receipts,14,Pay & exchange,FALSE
tokens,9,Pay & exchange,FALSE
lottery tickets,8,Pay & exchange,FALSE
bonds,3,Pay & exchange,FALSE
certificates,3,Pay & exchange,FALSE
"token, commemoratives",2,Pay & exchange,FALSE
"ticket, lotteries",1,Pay & exchange,FALSE
"feather money, o'o bird; oceania; polynesia, hawaiian islands",1,Pay & exchange,FALSE
"check, cashier's",1,Pay & exchange,FALSE
vouchers,1,Pay & exchange,FALSE
naturalization certificates,1,Pay & exchange,FALSE
coin balances,1,Pay & exchange,FALSE
"coin, modifieds",1,Pay & exchange,FALSE
"painting, certificates",1,Other,TRUE
bill of sales,1,Pay & exchange,TRUE
"certificate, naturalizations",1,"Read, write & record",TRUE
"certificate, discharges",1,"Read, write & record",TRUE
pianos,43,Perform music,FALSE
guitars,10,Perform music,FALSE
flutes,9,Perform music,FALSE
violins,7,Perform music,FALSE
surveying instruments,6,Perform music,FALSE
"sheets , set of music manuscripts",4,Perform music,FALSE
bagpipes,4,Perform music,FALSE
drums,3,Perform music,FALSE
"sheet , set of music manuscripts",3,Perform music,FALSE
clarinets,2,Perform music,FALSE
cellos,2,Perform music,FALSE
english guitars,2,Perform music,FALSE
drum heads,2,Perform music,FALSE
fifes,2,Perform music,FALSE
oboes,2,Perform music,FALSE
"trumpet, speakings",2,Perform music,FALSE
"harp, jaws",1,Perform music,FALSE
music books,1,Perform music,TRUE
instrument cases,1,Perform music,TRUE
banjos,1,Perform music,FALSE
"drawing instruments, set oves",3,Other,TRUE
chess sets,5,Play,FALSE
cards,3,Play,FALSE
"card, playings",3,Play,FALSE
"doll, women",1,Play,FALSE
"card, prayers",1,Other,FALSE
"vaccination card, commemoratives",1,Other,FALSE
games,1,Play,FALSE
bow and arrows; toys,1,Play,FALSE
prints,1884,"Portray, display & decorate",FALSE
silhouettes,1852,"Portray, display & decorate",FALSE
paintings,346,"Portray, display & decorate",FALSE
decorative arts,127,"Portray, display & decorate",FALSE
posters,61,"Portray, display & decorate",FALSE
uncut sheets,53,"Portray, display & decorate",FALSE
drawings,51,"Portray, display & decorate",FALSE
fashion plates,33,Dress & accessorize,FALSE
graphic arts,25,"Portray, display & decorate",FALSE
sculptures,24,"Portray, display & decorate",FALSE
figures,11,"Portray, display & decorate",FALSE
engravings,11,"Portray, display & decorate",FALSE
anatomical prints,7,"Portray, display & decorate",FALSE
lithographs,7,"Portray, display & decorate",FALSE
mezzotints,5,"Portray, display & decorate",FALSE
relief processes,3,Other,FALSE
portraits,3,"Portray, display & decorate",FALSE
wood engravings,2,"Portray, display & decorate",FALSE
busts,2,"Portray, display & decorate",FALSE
sculpture fragments,1,"Portray, display & decorate",FALSE
"statuette, religiouses",1,"Portray, display & decorate",FALSE
"print, physicians",1,"Portray, display & decorate",FALSE
etchings,1,Other,FALSE
"painting, portraits",1,"Portray, display & decorate",FALSE
"stove, miniatures",1,Other,FALSE
figure groups,1,Other,FALSE
correspondences,204,"Read, write & record",FALSE
books,84,"Read, write & record",FALSE
newspapers,52,"Read, write & record",FALSE
documents,33,"Read, write & record",FALSE
archival materials,27,"Read, write & record",FALSE
maps,22,"Read, write & record",FALSE
pamphlets,14,"Read, write & record",FALSE
paper moneys,9,Pay & exchange,FALSE
paper currencies,6,Pay & exchange,FALSE
manuscripts,6,"Read, write & record",FALSE
obsolete paper moneys,5,Pay & exchange,FALSE
sheet of papers,4,Other,FALSE
pens,3,"Read, write & record",FALSE
inkwells,2,"Read, write & record",FALSE
broadsides,2,"Read, write & record",FALSE
book pages,2,"Read, write & record",FALSE
"cutter, quill pens",1,"Read, write & record",FALSE
postcards,1,"Read, write & record",FALSE
journals,1,"Read, write & record",FALSE
"document, broadsides",1,"Read, write & record",FALSE
letter or accounts,1,"Read, write & record",FALSE
newspaper page; printeds,1,"Read, write & record",FALSE
newspaper sheets,1,"Read, write & record",FALSE
newspaper clippings,1,"Read, write & record",FALSE
chalices,1,Other,FALSE
pipes,58,Smoke,FALSE
"box, tobaccos",4,Smoke,FALSE
lighter; fire making apparatuses,1,Smoke,FALSE
"holder, cigars",1,Smoke,FALSE
match box; fire making apparatuses,1,Smoke,TRUE
icons,23,Commemorate & symbolize,FALSE
"emblem, radiator; road; automobiles",1,Other,FALSE
crests,1,Other,FALSE
"engine, steam, boats",2,Other,FALSE
"saddle, sides",2,Other,FALSE
pap boats,1,"Eat, cook & drink",FALSE
"stirrup, equestrians",1,Other,FALSE
"carriage, 1810s",1,Other,FALSE
wagon jack; roads,1,Other,FALSE
saddles,1,Other,FALSE
spade; maritime; boats,1,Other,TRUE
nails,3,Work & build,FALSE
shovels,2,Work & build,FALSE
axes,2,Work & build,FALSE
mallets,1,Work & build,FALSE
"mixer, drink, bow drills",1,Work & build,FALSE
"nippers, sugars",1,Other,FALSE
"tool, millineries",1,Work & build,FALSE
protractor and geometric squares,1,Work & build,FALSE
saws,1,Work & build,FALSE
"lathe, jeweler's",1,Other,FALSE
planes,1,Other,FALSE
nail files,1,Work & build,FALSE
levels,1,Work & build,FALSE
swage block; hand tools,1,Work & build,FALSE
vises,1,Work & build,FALSE
hand tools,1,Work & build,FALSE
adze heads,1,Work & build,FALSE
"machine tool, metalworking, lathe, poles",1,Work & build,FALSE
precision screw cutting lathes,1,Work & build,FALSE
set squares,1,Work & build,FALSE
bolts,1,Work & build,FALSE
crosses,5,Worship,FALSE
"cross, roundeds",2,Worship,FALSE
"finial, altar screens",1,Worship,FALSE
