canonical_type,suggested_canonical,changed_flag,object_types_list,objectType,physicalDescription
"cross, roundeds","cross, roundeds",False,"['Cross, Rounded', 'Cross, Rounded; Historical']","{""Object Name"": ""Cross, Rounded"", ""Other Terms"": ""Cross, Rounded; Historical""}","{""Measurements"": ""cross, rounded:;""}"
crosses,crosses,False,"['Crosses (visual works)', 'Cross; Historical']","{""Object Name"": ""Cross"", ""Other Terms"": ""Cross; Historical""}","{""Physical Description"": ""metal, silver (overall material)\nrounded (cross shape)"", ""Measurements"": ""cross:;""}"
cuff links,cuff links,False,"['cuff links', 'Cuff Links', 'Cuff Links; Jewelry; Accessories Worn on the Body; Male']","{""Object Name"": ""Cuff Links"", ""Object Type"": ""cuff links"", ""Other Terms"": ""Cuff Links; Jewelry; Accessories Worn on the Body; Male""}",
"cuffs, pair oves","cuffs, pair oves",False,"['Cuffs, Pair of', 'Cuffs, Pair of; Armwear; Accessories Worn on the Body; Female']","{""Object Name"": ""Cuffs, Pair of"", ""Other Terms"": ""Cuffs, Pair of; Armwear; Accessories Worn on the Body; Female""}","{""Physical Description"": ""linen (overall material)"", ""Measurements"": ""overall: 9 in x 1 in; 22.86 cm x 2.54 cm""}"
cup and saucers,cups,True,['Cup and Saucer'],"{""Object Name"": ""Cup and Saucer""}","{""Physical Description"": ""monochrome, blue (component surface decoration color name)\nabstract motifs (joint piece description of decoration)\nabstract motifs (overall description of decoration)\nceramic, porcelain, soft-paste (cup material)\nceramic, porcelain, soft-paste (saucer material)\ngilt (overall production method/technique)"", ""Measurements"": ""overall: 2 5/8 in x 5.562 cm; 6.6675 cm x 2 3/16 in""}"
"cup, punches",cups,True,"['Cup, Punch']","{""Object Name"": ""Cup, Punch""}","{""Physical Description"": ""\""colorless\"" (?? color)\nglass, transparent (?? material)\napplied (handle production method/technique)\nblown (?? production method/technique)\ncut (joint piece production method/technique)"", ""Measurements"": ""overall: 2 3/8 in x 3 1/4 in; 6.0325 cm x 8.255 cm""}"
"cup, standings",cups,True,"['cup, standing']","{""Object Name"": ""cup, standing""}","{""Physical Description"": ""silver (overall material)\ngold (interiors material)"", ""Measurements"": ""overall: 4 1/4 in x 2 1/2 in; 10.795 cm x 6.35 cm""}"
"cup, two handleds",cups,True,"['Cup, Two Handled']","{""Object Name"": ""Cup, Two Handled""}","{""Physical Description"": ""ceramic (overall material)\nearthenware (overall material)"", ""Measurements"": ""average spatial: 13.157 cm x 10.16 cm; 5 3/16 in x 4 in\noverall: 5 1/4 in x 7 in x 4 1/8 in; 13.335 cm x 17.78 cm x 10.4775 cm""}"
cupboards,cups,True,['Cupboards'],"{""Object Name"": ""Cupboard""}",
cups,cups,False,['Cups'],"{""Object Name"": ""cup""}","{""Physical Description"": ""glass (overall material)"", ""Measurements"": ""overall: 4.2 cm x 3.8 cm; 1 21/32 in x 1 1/2 in""}"
curfews,curfews,False,"['Curfew', 'Curfew; Fire-Making Apparatus', 'lid, tinderbox']","{""Object Name"": ""Curfew\nlid, tinderbox"", ""Other Terms"": ""Curfew; Fire-Making Apparatus""}","{""Physical Description"": ""tinned sheet iron (overall material)"", ""Measurements"": ""overall: 3/4 in x 4 1/8 in; 1.905 cm x 10.4775 cm""}"
cutlasses,cutlasses,False,"['Cutlass; Edged Weapons; Navy', 'Cutlasses']","{""Object Name"": ""cutlass\nCutlass"", ""Other Terms"": ""Cutlass; Edged Weapons; Navy""}","{""Physical Description"": ""bone (grips material)\nmetal, iron (hilt material)"", ""Measurements"": ""overall, cutlass: 2 7/8 in x 3 3/4 in x 35 1/4 in; 7.3025 cm x 9.525 cm x 89.535 cm""}"
cutleries,cutleries,False,"['fork, dinner', 'Fork, Dinner; Cutlery', 'Cutlery']","{""Object Name"": ""fork, dinner"", ""Object Type"": ""cutlery"", ""Other Terms"": ""Fork, Dinner; Cutlery""}","{""Physical Description"": ""ivory (handle material)\nmetal, steel (overall material)\nmetal, silver (ferrule, pommel cap material)"", ""Measurements"": ""overall: 1/4 in x 7 3/8 in x 5/8 in; .635 cm x 18.7325 cm x 1.5875 cm""}"
"cutter, cakes",cutters,True,"['cutter, cake']","{""Object Name"": ""cutter, cake""}","{""Physical Description"": ""iron, wrought (overall material)"", ""Measurements"": ""overall: 2 5/8 in x 2 7/8 in x 3 3/16 in; 6.6675 cm x 7.3025 cm x 8.09625 cm""}"
"cutter, cookies",cutters,True,"['cutter, cookie']","{""Object Name"": ""cutter, cookie""}","{""Physical Description"": ""iron (overall material)\ntinned (overall production method/technique)"", ""Measurements"": ""overall: 1 3/4 in x 3 1/8 in x 4 11/16 in; 4.445 cm x 7.9375 cm x 11.90625 cm""}"
"cutter, quill pens",cutters,True,"['cutter, quill pen']","{""Object Name"": ""cutter, quill pen""}","{""Physical Description"": ""ivory (overall material)\nmetal, brass (overall material)\nleather (container material)"", ""Measurements"": ""overall, cutter: 1/2 in x 2 5/8 in x 1 in; 1.27 cm x 6.6675 cm x 2.54 cm\noverall, box: 5/8 in x 3 1/8 in x 1 1/4 in; 1.5875 cm x 7.9375 cm x 3.175 cm""}"
decanters,decanters,False,['Decanters'],"{""Object Name"": ""decanter""}","{""Physical Description"": ""\""colorless\"" (overall color)\nglass, lead, transparent (overall material)\nglass, non-lead, transparent (stopper material)\nblown (overall production method/technique)\nengraved (joint piece production method/technique)""}"
decorative arts,decorative arts,False,"['Quilts', 'Decorative arts', 'Folk art']","{""Type"": ""Decorative Arts-Fiber\nFolk Art\nQuilt""}","{""Medium"": ""cotton"", ""Dimensions"": ""42 \u00d7 27 1/2 in. (106.7 \u00d7 69.9 cm)""}"
"deed, lands","deed, lands",False,"['deed, land']","{""Object Name"": ""deed, land""}","{""Physical Description"": ""vellum (overall material)"", ""Measurements"": ""overall: 30 7/8 in x 12 1/2 in; 78.4225 cm x 31.75 cm""}"
dental instruments,dental instruments,False,"['Forceps, Hand-Forged', 'Forceps, Hand-Forged; Dentistry', 'forceps, dental', 'dental instrument', 'dental forceps']","{""Object Name"": ""Forceps, Hand-Forged\ndental forceps\nforceps, dental\ndental instrument"", ""Other Terms"": ""Forceps, Hand-Forged; Dentistry""}","{""Measurements"": ""overall: 3/8 in x 6 1/8 in x 2 1/4 in; .9525 cm x 15.5575 cm x 5.715 cm""}"
designs,designs,False,"['Designs (concepts)', 'drawing, school plan']","{""Object Name"": ""drawing, school plan"", ""Object Type"": ""designs""}","{""Physical Description"": ""paper (overall material)\nink (overall material)"", ""Measurements"": ""overall: 31.6 cm x 37.8 cm; 12 7/16 in x 14 7/8 in""}"
desks,desks,False,['Desks'],"{""Object Name"": ""Desk""}","{""Measurements"": ""overall, lock: 5/8 in x 2 5/8 in x 2 in; 1.5875 cm x 6.6675 cm x 5.08 cm\noverall, hinges, each: 1/4 in x 1 3/4 in x 1 3/8 in; .635 cm x 4.445 cm x 3.4925 cm""}"
"device, liftings","device, liftings",False,"['device, lifting']","{""Object Name"": ""device, lifting""}","{""Physical Description"": ""metal, iron (overall material)"", ""Measurements"": ""overall: 2 in x 8 1/4 in x 2 5/8 in; 5.08 cm x 20.955 cm x 6.6675 cm""}"
dickey; neckwear; accessories worn on the body; males,dickey,True,"['Dickey; Neckwear; Accessories Worn on the Body; Male', 'Dickeys']","{""Object Name"": ""Dickey"", ""Other Terms"": ""Dickey; Neckwear; Accessories Worn on the Body; Male""}",
dies,dies,False,['Dies (tools)'],"{""Object Name"": ""die""}","{""Physical Description"": ""steel (overall material)"", ""Measurements"": ""overall: 40 mm x 34 mm; 1 9/16 in x 1 11/32 in""}"
"dipper, snufves","dipper, snufves",False,"['dipper, snuff']","{""Object Name"": ""dipper, snuff""}","{""Physical Description"": ""wood (overall material)"", ""Measurements"": ""overall: 1 in x 1 7/16 in x 6 5/8 in; 2.54 cm x 3.65125 cm x 16.8275 cm""}"
"dipper, wells","dipper, wells",False,"['dipper, well']","{""Object Name"": ""dipper, well""}","{""Physical Description"": ""wood, burl (overall material)"", ""Measurements"": ""overall: 3 1/8 in x 14 5/8 in x 7 3/4 in; 7.9375 cm x 37.1475 cm x 19.685 cm""}"
dippers,dippers,False,['Dippers (serving utensils)'],"{""Object Name"": ""dipper""}","{""Physical Description"": ""wood, burl (overall material)"", ""Measurements"": ""overall: 1 1/2 in x 5 7/16 in x 2 15/16 in; 3.81 cm x 13.81125 cm x 7.46125 cm""}"
"dish, desserts",dishes,True,"['dish, dessert']","{""Object Name"": ""dish, dessert""}","{""Physical Description"": ""polychrome (overall surface decoration color name)\nceramic, porcelain, soft-paste (overall material)"", ""Measurements"": ""overall: 1 7/8 in x 9 3/4 in x 9 3/4 in; 4.7625 cm x 24.765 cm x 24.765 cm""}"
"dish, salts",dishes,True,"['dish, salt']","{""Object Name"": ""dish, salt""}","{""Physical Description"": ""silver (holder material)\nglass (insert or liner material)"", ""Measurements"": ""overall: 3 in x 3 1/8 in x 2 3/8 in; 7.62 cm x 7.9375 cm x 6.0325 cm""}"
"dish, soaps",dishes,True,"['dish, soap']","{""Object Name"": ""dish, soap""}","{""Physical Description"": ""pewter (overall material)"", ""Measurements"": ""overall: 1 3/4 in x 4 5/8 in; 4.445 cm x 11.7475 cm\nlid diameter: 4 5/8 in; 11.7475 cm\nbase diameter: 3 9/16 in; 9.04875 cm""}"
"dish, soups",dishes,True,"['Dish, Soup']","{""Object Name"": ""Dish, Soup""}","{""Physical Description"": ""black (overall color)\nblue (overall color)\npolychrome (overall surface decoration color name)\nceramic, porcelain, hard-paste (overall material)"", ""Measurements"": ""overall: 1 7/8 in x 9 1/4 in; 4.7625 cm x 23.495 cm""}"
dishes,dishes,False,['Dishes (vessels)'],"{""Object Name"": ""dish""}","{""Physical Description"": ""red (inscription text color)\nmonochrome, blue (overall surface decoration color name)\nceramic, porcelain, soft-paste (overall material)\ngilt (overall production method/technique)"", ""Measurements"": ""overall: 2 in x 9 1/2 in x 9 5/8 in; 5.08 cm x 24.13 cm x 24.4475 cm""}"
dispatch cases,cases,True,['Dispatch Case'],"{""Object Name"": ""Dispatch Case""}","{""Physical Description"": ""leather (overall material)\nmetal, brass (overall material)\npaper (overall material)\nwood (overall material)"", ""Measurements"": ""overall: 2 1/2 in x 15 in x 5 in; 6.35 cm x 38.1 cm x 12.7 cm""}"
distilleries,distilleries,False,['Distilleries'],"{""Object Name"": ""still""}","{""Physical Description"": ""metal, copper (overall material)\nmetal, brass (overall material)\nmetal, pewter (overall material)"", ""Measurements"": ""overall: 37 in x 36 1/2 in x 30 in; 93.98 cm x 92.71 cm x 76.2 cm""}"
dividers,dividers,False,['dividers'],"{""Object Name"": ""dividers""}","{""Physical Description"": ""steel (overall material)\nbrass (overall material)"", ""Measurements"": ""overall: 1 cm x 9.5 cm x .8 cm; 3/8 in x 3 3/4 in x 5/16 in""}"
dividing engines,dividing engines,False,['dividing engine'],"{""Object Name"": ""dividing engine""}","{""Physical Description"": ""bronze (overall material)\nbrass (overall material)\nmahogany (stand material)"", ""Measurements"": ""overall: 109 cm x 123 cm x 114 cm; 42 29/32 in x 48 7/16 in x 44 7/8 in\noverall: 58 in x 60 in x 60 in; 147.32 cm x 152.4 cm x 152.4 cm""}"
"document, broadsides","document, broadsides",False,"['Document, Broadside']","{""Object Name"": ""Document, Broadside""}","{""Physical Description"": ""paper (overall material)\nink (overall material)\nwhite (overall color)\nblack (overall color)"", ""Measurements"": ""average spatial: 12 in x 8 3/8 in; 30.48 cm x 21.2725 cm""}"
documents,documents,False,['Documents'],"{""Type"": ""Document""}","{""Medium"": ""Ink on paper"", ""Dimensions"": ""34.5 x 20.7 cm. (13 9/16 x 8 1/8\"")""}"
"doll, women","doll, women",False,"['Doll, Woman']","{""Object Name"": ""Doll, Woman""}","{""Physical Description"": ""wood (overall material)""}"
"double fireplace, delaware log houses","double fireplace, delaware log houses",False,"['double fireplace, delaware log house', 'Log House']","{""Object Name"": ""Log House\ndouble fireplace, delaware log house""}","{""Measurements"": ""overall: 65 in x 91 in x 44 in; 165.1 cm x 231.14 cm x 111.76 cm""}"
drawers; lower body; underwear; males,drawers,True,"['Drawers; Lower Body; Underwear; Male', 'Drawers (underpants)']","{""Object Name"": ""Drawers"", ""Other Terms"": ""Drawers; Lower Body; Underwear; Male""}",
drawing compass,compasses,True,"['drawing compass', 'compass, drawing']","{""Object Name"": ""compass, drawing\ndrawing compass""}","{""Physical Description"": ""brass (overall material)"", ""Measurements"": ""overall: 10.2 cm x 1.1 cm x .8 cm; 4 1/32 in x 7/16 in x 5/16 in""}"
"drawing instruments, set oves","drawing instruments, set oves",False,"['drawing instruments, set of']","{""Object Name"": ""drawing instruments, set of""}","{""Physical Description"": ""brass (overall material)\nsteel (overall material)\nebony (overall material)\nwood (overall material)\npaper (overall material)\nleather (overall material)"", ""Measurements"": ""overall: 2.8 cm x 7 cm x 17.2 cm; 1 3/32 in x 2 3/4 in x 6 25/32 in""}"
drawings,drawings,False,"['Folk art', 'Drawings']","{""Type"": ""Drawing\nFolk Art""}","{""Medium"": ""watercolor, pen and ink, and glitter on paperboard"", ""Dimensions"": ""17 x 19 5/8 in. (43.2 x 49.8 cm)""}"
dresses,dresses,False,"['Waistcoat Fragment', 'Waistcoat Fragment; Waistcoat; Upper Body; Main Dress; Male']","{""Object Name"": ""Waistcoat Fragment"", ""Other Terms"": ""Waistcoat Fragment; Waistcoat; Upper Body; Main Dress; Male""}","{""Measurements"": ""overall length-sh seam/cf hem:;\nshoulder straps: 3 1/2 in; 8.89 cm\nstand collar, cb: 2 1/2 in; 6.35 cm\ncollar step: 3 1/2 in; x 8.89 cm\nside seam (straight): 12 1/2 in; 31.75 cm\nbuttons: 1/2 in; x 1.27 cm\nbuttons, spacing: 2 in; 5.08 cm\nfront, width: 29 1/2 in; x 74.93 cm\nwaist pocket welts: 1 in x 5 3/4 in; 2.54 cm x 14.605 cm\nwaist pockets, depth: 6 in; x 15.24 cm\nwaist pocket welts, above base: 6 1/2 in; 16.51 cm\ncenter back seam: 21 1/2 in; 54.61 cm\nback width: 18 in; x 45.72 cm\nback ties, inside side seam: 4 3/4 in; x 12.065 cm\nback ties, upper, above base: 5 in; 12.7 cm\nback ties, lower, above base: 1 1/2 in; 3.81 cm""}"
drum heads,drum heads,False,['drum head'],"{""Object Name"": ""drum head""}","{""Physical Description"": ""calf skin (overall material)"", ""Measurements"": ""overall: 31 in; 78.74 cm""}"
drums,drums,False,['Drums (membranophones)'],"{""Object Name"": ""drum""}","{""Physical Description"": ""wood (overall material)\npaint (overall material)\nrope (overall material)\nleather (overall material)"", ""Measurements"": ""overall: 16 in x 17 in x 17 in; 40.64 cm x 43.18 cm x 43.18 cm""}"
earrings,earrings,False,['Earrings'],"{""Object Name"": ""Earring""}","{""Physical Description"": ""metal, silver (overall material)\ncurved (overall production method/technique)\nengraved (overall production method/technique)"", ""Measurements"": ""overall: 2 3/8 in; x 6.0325 cm""}"
ecuelles,ecuelles,False,"['ecuelle', 'Ecuelle Stand', 'Ecuelle Cover', 'stand']","{""Object Name"": ""ecuelle\nstand\nEcuelle Cover\nEcuelle Stand""}","{""Measurements"": ""overall ecuelle and cover: 4 3/4 in x 7 1/2 in x 5 7/8 in; 12.065 cm x 19.05 cm x 14.9225 cm\noverall stand: 1 5/8 in x 9 3/8 in x 8 1/2 in; 4.1275 cm x 23.8125 cm x 21.59 cm""}"
electoral tickets,electoral tickets,False,['Electoral ticket'],"{""Object Name"": ""Electoral ticket""}","{""Physical Description"": ""paper (overall material)"", ""Measurements"": ""overall: 8 1/2 in x 5 in; 21.59 cm x 12.7 cm""}"
electrostatic demonstration apparatuses,electrostatic demonstration apparatuses,False,['Electrostatic Demonstration Apparatus'],"{""Object Name"": ""Electrostatic Demonstration Apparatus""}","{""Measurements"": ""box: 21 in x 28 in x 17 1/2 in; 53.34 cm x 71.12 cm x 44.45 cm\n.01: 2 in x 7 1/4 in x 7 1/4 in; 5.08 cm x 18.415 cm x 18.415 cm\n.02: 1 in x 6 in; 2.54 cm x 15.24 cm\n.03: 6 1/4 in x 4 5/16 in; 15.875 cm x 10.9855 cm\n.04: 5 1/4 in x 4 3/8 in; 13.335 cm x 11.1125 cm\n.05: 10 1/2 in x 4 5/8 in x 3 1/2 in; 26.67 cm x 11.7475 cm x 8.89 cm\n.06: 1 in x 7 7/8 in; 2.54 cm x 20.0025 cm\n.07: 3/4 in x 4 3/8 in; 1.905 cm x 11.1125 cm\n.08: 8 in x 3 1/2 in; 20.32 cm x 8.89 cm\n.09: 12 1/2 in x 4 1/2 in x 3 in; 31.75 cm x 11.43 cm x 7.62 cm\n.10: 6 1/2 in x 2 1/2 in x 2 3/4 in; 16.51 cm x 6.35 cm x 6.985 cm\n.11: 1/4 in x 5 1/2 in x 5 1/2 in; .635 cm x 13.97 cm x 13.97 cm\n.12: 2 1/2 in x 1 3/4 in; 6.35 cm x 4.445 cm\n.13: 11 1/2 in x 1/4 in; 29.21 cm x .635 cm\n.14: 4 1/2 in x 1 1/4 in; 11.43 cm x 3.175 cm\n.15: 5 in x 1 in; 12.7 cm x 2.54 cm\n.16: 4 1/2 in x 1/4 in; 11.43 cm x .635 cm\n.17: 8 7/8 in x 3/16 in; 22.5425 cm x .47625 cm\n.18: 4 in x 1 in; 10.16 cm x 2.54 cm\n.19: 7 in x 2 in; 17.78 cm x 5.08 cm\n.20: 7 1/2 in x 1 7/8 in; 19.05 cm x 4.7625 cm\n.21: 3/8 in x 6 in; .9525 cm x 15.24 cm\n.22: 5 in x 1/2 in x 1/2 in; 12.7 cm x 1.27 cm x 1.27 cm""}"
electrostatic devices,electrostatic devices,False,"['Electrostatic device', 'Discharge Tube', 'electrostatic device', 'Discharge Tube; Electrostatic Devices']","{""Object Name"": ""Discharge Tube\nelectrostatic device\nElectrostatic device"", ""Other Terms"": ""Discharge Tube; Electrostatic Devices""}","{""Measurements"": ""overall: 11 1/4 in x 2 3/4 in; 28.575 cm x 6.985 cm""}"
electrostatic generators,electrostatic generators,False,"['cylinder-type frictional electrostatic machine; Electrostatic Devices', 'cylinder-type frictional electrostatic machine', 'electrostatic generator']","{""Object Name"": ""cylinder-type frictional electrostatic machine\nelectrostatic generator"", ""Other Terms"": ""cylinder-type frictional electrostatic machine; Electrostatic Devices""}","{""Physical Description"": ""wood (overall material)\nglass (overall material)\nsteel (overall material)\ncloth (overall material)\nleather (overall material)\nbrass (overall material)"", ""Measurements"": ""overall: 20 1/2 in x 27 1/2 in x 22 1/2 in; 52.07 cm x 69.85 cm x 57.15 cm""}"
"emblem, radiator; road; automobiles","emblem, radiator",True,"['emblem, radiator; Road; Automobile', 'emblem, radiator']","{""Object Name"": ""emblem, radiator"", ""Other Terms"": ""emblem, radiator; Road; Automobile""}",
"embroidery, lace, ecclesiaticals","embroidery, lace, ecclesiaticals",False,"['embroidery, lace, ecclesiatical', 'embroidery, lace, ecclesiastical, table cover', 'embroidery, lace, ecclesiastical']","{""Object Name"": ""embroidery, lace, ecclesiatical\nembroidery, lace, ecclesiastical\nembroidery, lace, ecclesiastical, table cover""}","{""Physical Description"": ""silk (overall center material)\nembroidery (overall center production method/technique)\ngold, silver (overall border material)\nbobbin lace (overall border production method/technique)"", ""Measurements"": ""overall: 23 1/2 in x 23 in; x 59.69 cm x 58.42 cm""}"
"embroidery, pictures","embroidery, pictures",False,"['embroidery, picture']","{""Object Name"": ""embroidery, picture""}","{""Physical Description"": ""silk (thread material)\nsilk (ground material)"", ""Measurements"": ""overall: 17 7/8 in x 17 3/4 in; 45.4025 cm x 45.085 cm""}"
"embroidery, white works","embroidery, white works",False,"['Embroidery, White Work', 'pocket, white work']","{""Object Name"": ""Embroidery, White Work\npocket, white work""}","{""Physical Description"": ""linen (overall material)"", ""Measurements"": ""overall: 16 1/2 in x 12 in; 41.91 cm x 30.48 cm""}"
employee gears,employee gears,False,['Employee Gear'],"{""Type"": ""Employee Gear""}","{""Medium"": ""paper; ink"", ""Dimensions"": ""Height x Width: 16 3/4 x 10 1/4 in""}"
engine jacks,engine jacks,False,['engine jack'],"{""Object Name"": ""engine jack""}","{""Physical Description"": ""wood (overall material)\niron (overall material)"", ""Measurements"": ""overall: 21 in x 6 in x 2 1/2 in; 53.34 cm x 15.24 cm x 6.35 cm""}"
"engine, internal combustion, models","engine, internal combustion, models",False,"['engine, internal combustion, model', 'Engine, Internal Combustion']","{""Object Name"": ""Engine, Internal Combustion\nengine, internal combustion, model""}","{""Measurements"": ""board: 16 in x 12 in; 40.64 cm x 30.48 cm""}"
"engine, steam, boats","engine, steam, boats",False,"['Engine, Steam, Boat']","{""Object Name"": ""Engine, Steam, Boat""}","{""Measurements"": ""overall: 24 in x 6 in x 10 in; 60.96 cm x 15.24 cm x 25.4 cm""}"
"engine, steam, models","engine, steam, models",False,"['engine, steam, model', 'center square waterworks model', 'Water Works']","{""Object Name"": ""Water Works\nengine, steam, model\ncenter square waterworks model""}","{""Measurements"": ""overall: 26 1/2 in x 19 1/2 in; 67.31 cm x 49.53 cm\noverall: 47 in x 41 in x 51 in; 119.38 cm x 104.14 cm x 129.54 cm""}"
english guitars,english guitars,False,['english guitar'],"{""Object Name"": ""english guitar""}","{""Physical Description"": ""spruce (top material)\nmaple (back, sides, neck material)\nmetal (strings material)"", ""Measurements"": ""overall: 27 1/8 in x 11 1/2 in x 3 3/4 in; 68.8975 cm x 29.21 cm x 9.525 cm""}"
engravings,engravings,False,['Engravings (prints)'],"{""Object Name"": ""engraving"", ""Object Type"": ""Engraving""}","{""Measurements"": ""image: 11 in x 9 in; 27.94 cm x 22.86 cm""}"
"entablature fragment, churches","entablature fragment, churches",False,"['Entablature Fragment, Church', 'beam fragment']","{""Object Name"": ""Entablature Fragment, Church\nbeam fragment""}","{""Physical Description"": ""paint (overall material)\nwood (overall material)\ncarved (overall production method/technique)"", ""Measurements"": ""overall: beam fragment: 24 1/2 in x 17 1/4 in x 3 1/2 in; 62.23 cm x 43.815 cm x 8.89 cm""}"
"epaulets, pair oves","epaulets, pair oves",False,"['Epaulets, pair of', 'Epaulets, pair of; Insignia; Army; Holder, Epaulet; Officer', 'epaulettes, pair of']","{""Object Name"": ""Epaulets, pair of\nepaulettes, pair of"", ""Other Terms"": ""Epaulets, pair of; Insignia; Army; Holder, Epaulet; Officer""}","{""Physical Description"": ""cloth (overall material)\nleather (overall material)"", ""Measurements"": ""overall: 3/4 in x 9 1/2 in x 5 1/4 in; 1.905 cm x 24.13 cm x 13.335 cm""}"
etchings,etchings,False,['Etchings (prints)'],"{""Object Name"": ""etching"", ""Object Type"": ""Etching""}","{""Physical Description"": ""paper (overall material)\nink (overall material)"", ""Measurements"": ""overall: 37.5 cm x 53 cm; 14 3/4 in x 20 7/8 in""}"
eyecups,eyecups,False,['eyecup'],"{""Object Name"": ""eyecup""}","{""Physical Description"": ""ceramic (overall material)"", ""Measurements"": ""overall: 5.5 cm x 5 cm x 3.3 cm; 2 5/32 in x 1 31/32 in x 1 5/16 in\noverall: 2 1/8 in x 1 7/8 in x 1 1/4 in; 5.3975 cm x 4.7625 cm x 3.175 cm""}"
eyeglasses; opticals; accessories worn on the body; unknowns,eyeglasses,True,"['Eyeglasses; Opticals; Accessories Worn on the Body; Unknown', 'Eyeglasses']","{""Object Name"": ""Eyeglasses"", ""Object Type"": ""eyeglasses"", ""Other Terms"": ""Eyeglasses; Opticals; Accessories Worn on the Body; Unknown""}","{""Physical Description"": ""glass (overall material)\nmetal (overall material)""}"
fabric fragments,fabric fragments,False,"['fabric fragment', 'Fabric, Printed fragment']","{""Object Name"": ""Fabric, Printed fragment\nfabric fragment""}","{""Physical Description"": ""mixture (overall material)"", ""Measurements"": ""overall:;""}"
"fabric length, knitteds",fabric fragments,True,"['fabric length, knitted', 'fabric; knitted']","{""Object Name"": ""fabric; knitted\nfabric length, knitted""}","{""Measurements"": ""overall: 32 in x 36 1/2 in; 81.28 cm x 92.71 cm""}"
"fabric length, plate printeds",fabric fragments,True,"['fabric length, plate printed', 'Fabric, Printed, Copperplate']","{""Object Name"": ""Fabric, Printed, Copperplate\nfabric length, plate printed""}","{""Physical Description"": ""linen (overall material)\nplain weave (overall production method/technique)\nprinted, plate (overall production method/technique)"", ""Measurements"": ""overall: 60 7/8 in x 30 1/2 in; 154.6225 cm x 77.47 cm""}"
fabric pieces; accessories for the manufacturing of clothings,fabric fragments,True,"['Fabric Pieces; Accessories for the Manufacturing of Clothing', 'Fabric Pieces']","{""Object Name"": ""Fabric Pieces"", ""Other Terms"": ""Fabric Pieces; Accessories for the Manufacturing of Clothing""}","{""Physical Description"": ""cotton (overall material)"", ""Measurements"": ""largest piece: 12 1/2 in x 10 in; 31.75 cm x 25.4 cm""}"
fabric samples,fabric fragments,True,['fabric sample'],"{""Object Name"": ""fabric sample""}","{""Measurements"": ""overall: 37 1/2 in x 20 7/8 in; 95.25 cm x 53.0225 cm""}"
"fabric, fragment, printeds",fabric fragments,True,"['Fabric, Fragment, Printed']","{""Object Name"": ""Fabric, Fragment, Printed""}","{""Physical Description"": ""wool (?? material)"", ""Measurements"": ""overall: 10 in x 16 in; 25.4 cm x 40.64 cm""}"
"fabric, fragments",fabric fragments,True,"['Fabric, fragment']","{""Object Name"": ""Fabric, fragment""}",
"fabric, printeds",fabric fragments,True,"['Fabric, Printed']","{""Object Name"": ""Fabric, Printed""}","{""Physical Description"": ""fabric, silk (overall material)"", ""Measurements"": ""overall: 23 in x 16 in; 58.42 cm x 40.64 cm""}"
"fabric,fragments",fabric fragments,True,"['Fabric,fragment']","{""Object Name"": ""Fabric,fragment""}",
fabric; accessories for the manufacturing of clothings,fabric fragments,True,"['Fabric; Accessories for the Manufacturing of Clothing', 'Cloth']","{""Object Name"": ""Fabric"", ""Other Terms"": ""Fabric; Accessories for the Manufacturing of Clothing""}","{""Physical Description"": ""cotton (overall material)"", ""Measurements"": ""overall: 360 in x 23 1/4 in; 914.4 cm x 59.055 cm""}"
fans,fans,False,"['Fans (costume accessories)', 'Fan; Accessories Carried; Female']","{""Object Name"": ""Fan"", ""Other Terms"": ""Fan; Accessories Carried; Female""}",
fashion plates,fashion plates,False,['Fashion Plate'],"{""Object Name"": ""Fashion Plate""}",
"feather money, o'o bird; oceania; polynesia, hawaiian islands","feather money, o'o bird",True,"[""Feather Money, O'o Bird; Oceania; Polynesia, Hawaiian Islands"", 'alternative currency', ""Feather Money, O'o Bird""]","{""Object Name"": ""Feather Money, O'o Bird\nalternative currency"", ""Other Terms"": ""Feather Money, O'o Bird; Oceania; Polynesia, Hawaiian Islands""}","{""Physical Description"": ""feather, o'o bird (overall material)\nbrown (overall color)\nyellow (overall color)\nwhite (overall color)\nnatural (overall production method/technique)"", ""Measurements"": ""overall:;""}"
fiddles,fiddles,False,['Fiddles'],"{""Object Name"": ""fiddle""}","{""Physical Description"": ""spruce (table material)\nmaple (back material)"", ""Measurements"": ""overall: 23 1/2 in x 6 3/4 in x 3 in; 59.69 cm x 17.145 cm x 7.62 cm""}"
field hand's calls,field hand's calls,False,"[""Field Hand's Call""]","{""Object Name"": ""Field Hand's Call""}","{""Physical Description"": ""metal (overall material)\nblack (overall color)"", ""Measurements"": ""overall: 27 in x 24 in x 1/2 in; 68.58 cm x 60.96 cm x 1.27 cm""}"
field telescope and cases,cases,True,['Field telescope and case'],"{""Object Name"": ""Field telescope and case""}","{""Measurements"": ""overall: 10 3/4 in; 27.305 cm""}"
fifes,fifes,False,['Fifes'],"{""Object Name"": ""fife""}","{""Physical Description"": ""rosewood (overall material)\nnickel silver (overall material)"", ""Measurements"": ""overall: 15 1/16 in x 3/4 in; 38.25875 cm x 1.905 cm""}"
figure groups,figure groups,False,['Figure Group'],"{""Object Name"": ""Figure Group""}",
